catNum,name,area,manufacturer,minQuantity,costPrice,sellingPrice,discount,sale,category,subCategory,subSubCategory
183648449,Sheri tomato,A,Farmers Market,50,0.50,1.00,1,1,Vegetables,Tomato,100 gram
183648440,Yellow banana,A,Fruit Farm,5,0.70,1.00,1,1,Fruits,Banana,150 gram
183648445,Small orange,A,Fruit Farm,3,0.60,1.20,1,1,Fruits,Orange,200 gram
183648442,Red apple,A,Fruit Farm,4,0.70,1.40,1,1,Fruits,Apple,100 gram
183648443,Tnuva milk,B,DairyCo,20,8.00,1.50,1,1,Dairy products,Dairy,1 liter
183648487,Tara milk,B,DairyCo,20,9.00,1.50,1,1,Dairy products,Dairy,1.5 liter
183648427,Emek cheese,B,DairyCo,15,3.00,5.00,1,1,Dairy products,Cheese,250 gram
183648495,Tara cheese,B,DairyCo,10,9.00,5.00,1,1,Dairy products,Cheese,200 gram
183648418,Tnuva yogurt,B,DairyCo,30,0.80,1.50,1,1,Dairy products,Yogurt,250 gram
183648420,L eggs,C,Farmer's Best,30,2.00,3.50,1,1,Eggs products,Eggs,12 Pieces
183648402,Osem pasta,D,Italiano,25,1.50,2.50,1,1,Carbohydrate,Pasta,500 gram
183648499,White bread,D,Bakery Fresh,20,2.00,3.00,1,1,Carbohydrate,Bread,1 kg
